date,region,product,sales,quantity,profit
2024-01-01,North,Widget A,1200.50,15,320.25
2024-01-02,South,Widget B,890.00,12,210.00
2024-01-03,East,Widget A,1450.75,18,425.50
2024-01-04,West,Widget C,2100.00,25,620.00
2024-01-05,North,Widget B,750.25,10,180.75
2024-01-06,South,Widget A,1800.50,22,510.25
2024-01-07,East,Widget C,950.00,14,225.00
2024-01-08,West,Widget B,1250.75,16,315.50
2024-01-09,North,Widget A,1650.00,20,475.00
2024-01-10,South,Widget C,2200.50,28,680.25
2024-01-11,East,Widget B,850.25,11,195.00
2024-01-12,West,Widget A,1100.00,13,280.00
2024-01-13,North,Widget C,1900.75,24,550.50
2024-01-14,South,Widget A,1350.50,17,385.25
2024-01-15,East,Widget B,975.00,12,240.00
2024-01-16,West,Widget C,2050.25,26,615.75
2024-01-17,North,Widget A,1550.00,19,445.00
2024-01-18,South,Widget B,820.75,10,185.50
2024-01-19,East,Widget C,2400.50,30,720.25
2024-01-20,West,Widget A,1300.00,16,350.00
2024-01-21,North,Widget B,950.25,12,220.75
2024-01-22,South,Widget C,1750.50,21,495.25
2024-01-23,East,Widget A,1200.00,15,320.00
2024-01-24,West,Widget B,1850.75,23,525.50
2024-01-25,North,Widget C,2100.00,27,630.00
2024-01-26,South,Widget A,1450.25,18,410.75
2024-01-27,East,Widget B,800.50,10,190.25
2024-01-28,West,Widget C,1950.00,24,560.00
2024-01-29,North,Widget A,1700.75,21,485.50
2024-01-30,South,Widget B,925.00,11,215.00
2024-01-31,East,Widget C,2300.50,29,695.25
